date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
03:00:33	114/114	---M-Z	200	added ('OK')	text/plain	etag:%2246273-1643366385;gz%22	http://23hrtowing.co.za/robots.txt		(from )
03:00:35	41126/41126	---M-Z	200	added ('OK')	text/html	etag:%2246274-1643366391;gz%22	http://23hrtowing.co.za/	C:/My%20Web%20Sites/23/23hrtowing.co.za/index.html	(from )
03:00:36	866/866	---M-Z	200	added ('OK')	application/rss+xml	etag:%22ede407de2888345836702971de2bb130%22	http://23hrtowing.co.za/feed/	C:/My%20Web%20Sites/23/23hrtowing.co.za/feed/index.html	(from http://23hrtowing.co.za/)
03:00:37	53593/53593	---M-Z	200	added ('OK')	text/css	date:Thu,%2030%20Apr%202020%2002:53:03%20GMT	http://23hrtowing.co.za/wp-includes/css/dist/block-library/style.min.css?ver=5.4.9	C:/My%20Web%20Sites/23/23hrtowing.co.za/wp-includes/css/dist/block-library/style.mina8c1.css	(from http://23hrtowing.co.za/)
03:00:37	50205/50205	---MC-	200	added ('OK')	text/javascript	date:Tue,%2002%20Nov%202021%2017:39:06%20GMT	http://www.google-analytics.com/analytics.js	C:/My%20Web%20Sites/23/www.google-analytics.com/analytics.js	(from http://23hrtowing.co.za/)
03:00:38	11425/11425	---M-Z	200	added ('OK')	text/css	date:Wed,%2013%20Nov%202019%2008:14:39%20GMT	http://23hrtowing.co.za/wp-includes/js/mediaelement/mediaelementplayer-legacy.min.css?ver=4.2.13-9993131	C:/My%20Web%20Sites/23/23hrtowing.co.za/wp-includes/js/mediaelement/mediaelementplayer-legacy.minc270.css	(from http://23hrtowing.co.za/)
03:00:38	4186/4186	---M-Z	200	added ('OK')	text/css	date:Wed,%2013%20Nov%202019%2008:14:39%20GMT	http://23hrtowing.co.za/wp-includes/js/mediaelement/wp-mediaelement.min.css?ver=5.4.9	C:/My%20Web%20Sites/23/23hrtowing.co.za/wp-includes/js/mediaelement/wp-mediaelement.mina8c1.css	(from http://23hrtowing.co.za/)
03:00:41	346109/346109	---M-Z	200	added ('OK')	text/css	date:Thu,%2009%20Jul%202020%2006:48:28%20GMT	http://23hrtowing.co.za/wp-content/uploads/dynamic_avia/avia-merged-styles-a28cdb151472fb535ad263d819a6c266---5f06bdbce0808.css	C:/My%20Web%20Sites/23/23hrtowing.co.za/wp-content/uploads/dynamic_avia/avia-merged-styles-a28cdb151472fb535ad263d819a6c266---5f06bdbce0808.css	(from http://23hrtowing.co.za/)
03:00:42	96873/96873	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2022%20May%202019%2002:52:26%20GMT	http://23hrtowing.co.za/wp-includes/js/jquery/jquery.js?ver=1.12.4-wp	C:/My%20Web%20Sites/23/23hrtowing.co.za/wp-includes/js/jquery/jquery4a5f.js	(from http://23hrtowing.co.za/)
03:00:42	10056/10056	---M-Z	200	added ('OK')	application/javascript	date:Fri,%2020%20May%202016%2006:11:28%20GMT	http://23hrtowing.co.za/wp-includes/js/jquery/jquery-migrate.min.js?ver=1.4.1	C:/My%20Web%20Sites/23/23hrtowing.co.za/wp-includes/js/jquery/jquery-migrate.min330a.js	(from http://23hrtowing.co.za/)
03:00:43	9265/9265	---M-Z	200	added ('OK')	application/javascript	date:Thu,%2009%20Jul%202020%2006:29:44%20GMT	http://23hrtowing.co.za/wp-content/plugins/google-analytics-dashboard-for-wp/assets/js/frontend.min.js?ver=6.1.0	C:/My%20Web%20Sites/23/23hrtowing.co.za/wp-content/plugins/google-analytics-dashboard-for-wp/assets/js/frontend.min42c6.js	(from http://23hrtowing.co.za/)
03:00:45	804/804	---M-Z	200	added ('OK')	text/xml	date:Fri,%2004%20Feb%202022%2001:00:46%20GMT	http://23hrtowing.co.za/xmlrpc.php?rsd	C:/My%20Web%20Sites/23/23hrtowing.co.za/xmlrpc0db0.php	(from http://23hrtowing.co.za/)
03:00:46	1045/1045	---M-Z	200	added ('OK')	application/xml	date:Wed,%2011%20Dec%202013%2019:49:11%20GMT	http://23hrtowing.co.za/wp-includes/wlwmanifest.xml	C:/My%20Web%20Sites/23/23hrtowing.co.za/wp-includes/wlwmanifest.xml	(from http://23hrtowing.co.za/)
03:00:47	2276/2276	---M--	200	added ('OK')	application/json	etag:%2253649-1643936448;;;%22	http://23hrtowing.co.za/wp-json/oembed/1.0/embed?url=http%3A%2F%2F23hrtowing.co.za%2F	C:/My%20Web%20Sites/23/23hrtowing.co.za/wp-json/oembed/1.0/embed068a.json	(from http://23hrtowing.co.za/)
03:00:48	2370/2370	---M-Z	200	added ('OK')	text/xml	etag:%2253650-1643936449;gz%22	http://23hrtowing.co.za/wp-json/oembed/1.0/embed?url=http%3A%2F%2F23hrtowing.co.za%2F&format=xml	C:/My%20Web%20Sites/23/23hrtowing.co.za/wp-json/oembed/1.0/embed0d72	(from http://23hrtowing.co.za/)
03:00:49	94441/94441	---MC-	200	added ('OK')	application/json	etag:%2253648-1643936446;;;%22	http://23hrtowing.co.za/wp-json/	C:/My%20Web%20Sites/23/23hrtowing.co.za/wp-json/index.html	(from http://23hrtowing.co.za/)
03:00:49	42/42	---M-Z	405	error ('Method%20Not%20Allowed')	text/plain	date:Fri,%2004%20Feb%202022%2001:00:50%20GMT	http://23hrtowing.co.za/xmlrpc.php	C:/My%20Web%20Sites/23/23hrtowing.co.za/xmlrpc.php	(from http://23hrtowing.co.za/)
03:00:56	76836/76836	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Wed,%2017%20Jun%202020%2008:40:13%20GMT	http://23hrtowing.co.za/wp-content/themes/enfold/config-templatebuilder/avia-template-builder/assets/fonts/entypo-fontello.eot	C:/My%20Web%20Sites/23/23hrtowing.co.za/wp-content/themes/enfold/config-templatebuilder/avia-template-builder/assets/fonts/entypo-fontello.eot	(from http://23hrtowing.co.za/)
03:00:59	47372/47372	---M--	200	added ('OK')	font/woff	date:Wed,%2017%20Jun%202020%2008:40:13%20GMT	http://23hrtowing.co.za/wp-content/themes/enfold/config-templatebuilder/avia-template-builder/assets/fonts/entypo-fontello.woff	C:/My%20Web%20Sites/23/23hrtowing.co.za/wp-content/themes/enfold/config-templatebuilder/avia-template-builder/assets/fonts/entypo-fontello.woff	(from http://23hrtowing.co.za/)
03:00:59	38740/38740	---M--	200	added ('OK')	font/woff2	date:Wed,%2017%20Jun%202020%2008:40:13%20GMT	http://23hrtowing.co.za/wp-content/themes/enfold/config-templatebuilder/avia-template-builder/assets/fonts/entypo-fontello.woff2	C:/My%20Web%20Sites/23/23hrtowing.co.za/wp-content/themes/enfold/config-templatebuilder/avia-template-builder/assets/fonts/entypo-fontello.woff2	(from http://23hrtowing.co.za/)
03:01:01	112949/112949	---M-Z	200	added ('OK')	image/svg+xml	date:Wed,%2017%20Jun%202020%2008:40:13%20GMT	http://23hrtowing.co.za/wp-content/themes/enfold/config-templatebuilder/avia-template-builder/assets/fonts/entypo-fontello.svg	C:/My%20Web%20Sites/23/23hrtowing.co.za/wp-content/themes/enfold/config-templatebuilder/avia-template-builder/assets/fonts/entypo-fontello.svg	(from http://23hrtowing.co.za/)
03:01:03	76836/76836	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Wed,%2017%20Jun%202020%2008:40:13%20GMT	http://23hrtowing.co.za/wp-content/themes/enfold/config-templatebuilder/avia-template-builder/assets/fonts/entypo-fontello.eot?	C:/My%20Web%20Sites/23/23hrtowing.co.za/wp-content/themes/enfold/config-templatebuilder/avia-template-builder/assets/fonts/entypo-fontellod41d.eot	(from http://23hrtowing.co.za/)
03:01:05	20080/20080	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Fri,%2021%20Sep%202018%2008:25:46%20GMT	http://23hrtowing.co.za/wp-content/uploads/avia_fonts/medical/medical.eot	C:/My%20Web%20Sites/23/23hrtowing.co.za/wp-content/uploads/avia_fonts/medical/medical.eot	(from http://23hrtowing.co.za/)
03:01:05	12204/12204	---M--	200	added ('OK')	font/woff	date:Fri,%2021%20Sep%202018%2008:25:47%20GMT	http://23hrtowing.co.za/wp-content/uploads/avia_fonts/medical/medical.woff	C:/My%20Web%20Sites/23/23hrtowing.co.za/wp-content/uploads/avia_fonts/medical/medical.woff	(from http://23hrtowing.co.za/)
03:01:06	19880/19880	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2004%20Feb%202022%2001:01:07%20GMT	http://23hrtowing.co.za/wp-content/uploads/avia_fonts/medical/medical.woff2	C:/My%20Web%20Sites/23/23hrtowing.co.za/wp-content/uploads/avia_fonts/medical/medical.woff2	(from http://23hrtowing.co.za/)
03:01:06	20080/20080	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Fri,%2021%20Sep%202018%2008:25:46%20GMT	http://23hrtowing.co.za/wp-content/uploads/avia_fonts/medical/medical.eot?	C:/My%20Web%20Sites/23/23hrtowing.co.za/wp-content/uploads/avia_fonts/medical/medicald41d.eot	(from http://23hrtowing.co.za/)
03:01:06	76640/76640	---M--	200	added ('OK')	font/ttf	date:Wed,%2017%20Jun%202020%2008:40:13%20GMT	http://23hrtowing.co.za/wp-content/themes/enfold/config-templatebuilder/avia-template-builder/assets/fonts/entypo-fontello.ttf	C:/My%20Web%20Sites/23/23hrtowing.co.za/wp-content/themes/enfold/config-templatebuilder/avia-template-builder/assets/fonts/entypo-fontello.ttf	(from http://23hrtowing.co.za/)
03:01:08	19904/19904	---M--	200	added ('OK')	font/ttf	date:Fri,%2021%20Sep%202018%2008:25:45%20GMT	http://23hrtowing.co.za/wp-content/uploads/avia_fonts/medical/medical.ttf	C:/My%20Web%20Sites/23/23hrtowing.co.za/wp-content/uploads/avia_fonts/medical/medical.ttf	(from http://23hrtowing.co.za/)
03:01:10	149519/149519	---M-Z	200	added ('OK')	image/svg+xml	date:Fri,%2021%20Sep%202018%2008:25:43%20GMT	http://23hrtowing.co.za/wp-content/uploads/avia_fonts/medical/medical.svg	C:/My%20Web%20Sites/23/23hrtowing.co.za/wp-content/uploads/avia_fonts/medical/medical.svg	(from http://23hrtowing.co.za/)
03:01:12	25945/25945	---M-Z	200	added ('OK')	text/html	etag:%2246954-1643416193;gz%22	http://23hrtowing.co.za/services/	C:/My%20Web%20Sites/23/23hrtowing.co.za/services/index.html	(from http://23hrtowing.co.za/)
03:01:12	29415/29415	---M-Z	200	added ('OK')	text/html	etag:%2249658-1643612636;gz%22	http://23hrtowing.co.za/contact/	C:/My%20Web%20Sites/23/23hrtowing.co.za/contact/index.html	(from http://23hrtowing.co.za/)
